days_off_in_future_from_tomorrow,day_off_in_row,crimes,days_off_in_future_from_today,is_day_off,month,weekday,year,day
2,0,290,0,0,1,4,13,25
1,1,315,2,1,1,5,13,26
0,2,120,1,1,1,6,13,27
0,0,92,0,0,1,0,13,28
0,0,288,0,0,1,1,13,29
0,0,259,0,0,1,2,13,30
0,0,315,0,0,1,3,13,31
2,0,429,0,0,2,4,13,1
1,1,273,2,1,2,5,13,2
0,2,120,1,1,2,6,13,3
0,0,93,0,0,2,0,13,4
0,0,324,0,0,2,1,13,5
0,0,268,0,0,2,2,13,6
0,0,313,0,0,2,3,13,7
2,0,281,0,0,2,4,13,8
1,1,325,2,1,2,5,13,9
0,2,107,1,1,2,6,13,10
0,0,81,0,0,2,0,13,11
0,0,336,0,0,2,1,13,12
0,0,263,0,0,2,2,13,13
0,0,284,0,0,2,3,13,14
2,0,314,0,0,2,4,13,15
1,1,338,2,1,2,5,13,16
0,2,139,1,1,2,6,13,17
0,0,89,0,0,2,0,13,18
0,0,310,0,0,2,1,13,19
0,0,267,0,0,2,2,13,20
0,0,276,0,0,2,3,13,21
2,0,297,0,0,2,4,13,22
1,1,349,2,1,2,5,13,23
0,2,123,1,1,2,6,13,24
0,0,120,0,0,2,0,13,25
0,0,376,0,0,2,1,13,26
0,0,276,0,0,2,2,13,27
0,0,336,0,0,2,3,13,28
2,0,468,0,0,3,4,13,1
1,1,318,2,1,3,5,13,2
0,2,146,1,1,3,6,13,3
0,0,91,0,0,3,0,13,4
0,0,290,0,0,3,1,13,5
0,0,263,0,0,3,2,13,6
3,0,312,0,0,3,3,13,7
2,1,355,3,1,3,4,13,8
1,2,106,2,1,3,5,13,9
0,3,104,1,1,3,6,13,10
0,0,88,0,0,3,0,13,11
0,0,351,0,0,3,1,13,12
0,0,281,0,0,3,2,13,13
0,0,311,0,0,3,3,13,14
2,0,314,0,0,3,4,13,15
1,1,341,2,1,3,5,13,16
0,2,103,1,1,3,6,13,17
0,0,78,0,0,3,0,13,18
0,0,333,0,0,3,1,13,19
0,0,273,0,0,3,2,13,20
0,0,264,0,0,3,3,13,21
2,0,307,0,0,3,4,13,22
1,1,326,2,1,3,5,13,23
0,2,121,1,1,3,6,13,24
0,0,91,0,0,3,0,13,25
0,0,320,0,0,3,1,13,26
0,0,270,0,0,3,2,13,27
0,0,280,0,0,3,3,13,28
2,0,291,0,0,3,4,13,29
1,1,399,2,1,3,5,13,30
0,2,125,1,1,3,6,13,31
0,0,118,0,0,4,0,13,1
0,0,219,0,0,4,1,13,2
0,0,223,0,0,4,2,13,3
0,0,266,0,0,4,3,13,4
2,0,326,0,0,4,4,13,5
1,1,347,2,1,4,5,13,6
0,2,133,1,1,4,6,13,7
0,0,89,0,0,4,0,13,8
0,0,308,0,0,4,1,13,9
0,0,303,0,0,4,2,13,10
0,0,283,0,0,4,3,13,11
2,0,351,0,0,4,4,13,12
1,1,329,2,1,4,5,13,13
0,2,129,1,1,4,6,13,14
0,0,119,0,0,4,0,13,15
0,0,334,0,0,4,1,13,16
0,0,301,0,0,4,2,13,17
0,0,312,0,0,4,3,13,18
2,0,357,0,0,4,4,13,19
1,1,344,2,1,4,5,13,20
0,2,178,1,1,4,6,13,21
0,0,125,0,0,4,0,13,22
0,0,349,0,0,4,1,13,23
0,0,288,0,0,4,2,13,24
0,0,283,0,0,4,3,13,25
2,0,358,0,0,4,4,13,26
1,1,375,2,1,4,5,13,27
0,2,146,1,1,4,6,13,28
0,0,96,0,0,4,0,13,29
1,0,361,0,0,4,1,13,30
0,1,461,1,1,5,2,13,1
0,0,138,0,0,5,3,13,2
2,0,296,0,0,5,4,13,3
1,1,339,2,1,5,5,13,4
0,2,146,1,1,5,6,13,5
0,0,78,0,0,5,0,13,6
0,0,412,0,0,5,1,13,7
4,0,305,0,0,5,2,13,8
3,1,409,4,1,5,3,13,9
2,2,139,3,1,5,4,13,10
1,3,134,2,1,5,5,13,11
0,4,109,1,1,5,6,13,12
1,0,101,0,0,5,0,13,13
0,1,401,1,1,5,1,13,14
0,0,129,0,0,5,2,13,15
0,0,349,0,0,5,3,13,16
0,0,351,0,0,5,4,13,17
1,0,337,0,0,5,5,13,18
0,1,331,1,1,5,6,13,19
0,0,102,0,0,5,0,13,20
0,0,320,0,0,5,1,13,21
0,0,303,0,0,5,2,13,22
0,0,301,0,0,5,3,13,23
2,0,355,0,0,5,4,13,24
1,1,388,2,1,5,5,13,25
0,2,137,1,1,5,6,13,26
0,0,95,0,0,5,0,13,27
0,0,435,0,0,5,1,13,28
0,0,317,0,0,5,2,13,29
0,0,294,0,0,5,3,13,30
2,0,313,0,0,5,4,13,31
1,1,433,2,1,6,5,13,1
0,2,149,1,1,6,6,13,2
0,0,102,0,0,6,0,13,3
0,0,320,0,0,6,1,13,4
0,0,312,0,0,6,2,13,5
0,0,331,0,0,6,3,13,6
2,0,335,0,0,6,4,13,7
1,1,387,2,1,6,5,13,8
0,2,140,1,1,6,6,13,9
0,0,93,0,0,6,0,13,10
0,0,357,0,0,6,1,13,11
0,0,292,0,0,6,2,13,12
0,0,322,0,0,6,3,13,13
2,0,349,0,0,6,4,13,14
1,1,392,2,1,6,5,13,15
0,2,141,1,1,6,6,13,16
0,0,114,0,0,6,0,13,17
0,0,438,0,0,6,1,13,18
0,0,328,0,0,6,2,13,19
0,0,358,0,0,6,3,13,20
2,0,388,0,0,6,4,13,21
1,1,393,2,1,6,5,13,22
0,2,140,1,1,6,6,13,23
0,0,113,0,0,6,0,13,24
0,0,379,0,0,6,1,13,25
0,0,339,0,0,6,2,13,26
0,0,394,0,0,6,3,13,27
2,0,443,0,0,6,4,13,28
1,1,563,2,1,6,5,13,29
0,2,204,1,1,6,6,13,30
0,0,170,0,0,7,0,13,1
1,0,349,0,0,7,1,13,2
0,1,321,1,1,7,2,13,3
0,0,122,0,0,7,3,13,4
2,0,368,0,0,7,4,13,5
1,1,349,2,1,7,5,13,6
0,2,133,1,1,7,6,13,7
0,0,107,0,0,7,0,13,8
0,0,371,0,0,7,1,13,9
0,0,284,0,0,7,2,13,10
0,0,319,0,0,7,3,13,11
2,0,335,0,0,7,4,13,12
1,1,374,2,1,7,5,13,13
0,2,114,1,1,7,6,13,14
0,0,103,0,0,7,0,13,15
0,0,313,0,0,7,1,13,16
0,0,301,0,0,7,2,13,17
0,0,313,0,0,7,3,13,18
2,0,358,0,0,7,4,13,19
1,1,366,2,1,7,5,13,20
0,2,117,1,1,7,6,13,21
0,0,94,0,0,7,0,13,22
0,0,326,0,0,7,1,13,23
0,0,308,0,0,7,2,13,24
0,0,308,0,0,7,3,13,25
2,0,374,0,0,7,4,13,26
1,1,402,2,1,7,5,13,27
0,2,163,1,1,7,6,13,28
0,0,106,0,0,7,0,13,29
0,0,325,0,0,7,1,13,30
0,0,324,0,0,7,2,13,31
0,0,420,0,0,8,3,13,1
2,0,301,0,0,8,4,13,2
1,1,358,2,1,8,5,13,3
0,2,154,1,1,8,6,13,4
0,0,105,0,0,8,0,13,5
0,0,364,0,0,8,1,13,6
0,0,269,0,0,8,2,13,7
0,0,338,0,0,8,3,13,8
2,0,350,0,0,8,4,13,9
1,1,338,2,1,8,5,13,10
0,2,160,1,1,8,6,13,11
0,0,109,0,0,8,0,13,12
0,0,346,0,0,8,1,13,13
0,0,316,0,0,8,2,13,14
0,0,317,0,0,8,3,13,15
2,0,354,0,0,8,4,13,16
1,1,344,2,1,8,5,13,17
0,2,150,1,1,8,6,13,18
0,0,106,0,0,8,0,13,19
0,0,342,0,0,8,1,13,20
0,0,308,0,0,8,2,13,21
0,0,301,0,0,8,3,13,22
2,0,343,0,0,8,4,13,23
1,1,338,2,1,8,5,13,24
0,2,120,1,1,8,6,13,25
0,0,106,0,0,8,0,13,26
0,0,331,0,0,8,1,13,27
0,0,287,0,0,8,2,13,28
0,0,286,0,0,8,3,13,29
2,0,359,0,0,8,4,13,30
1,1,412,2,1,8,5,13,31
0,2,185,1,1,9,6,13,1
0,0,124,0,0,9,0,13,2
0,0,286,0,0,9,1,13,3
0,0,240,0,0,9,2,13,4
0,0,280,0,0,9,3,13,5
2,0,357,0,0,9,4,13,6
1,1,395,2,1,9,5,13,7
0,2,183,1,1,9,6,13,8
0,0,104,0,0,9,0,13,9
0,0,366,0,0,9,1,13,10
0,0,354,0,0,9,2,13,11
0,0,303,0,0,9,3,13,12
2,0,298,0,0,9,4,13,13
1,1,317,2,1,9,5,13,14
0,2,125,1,1,9,6,13,15
0,0,127,0,0,9,0,13,16
0,0,310,0,0,9,1,13,17
0,0,328,0,0,9,2,13,18
0,0,307,0,0,9,3,13,19
2,0,323,0,0,9,4,13,20
1,1,327,2,1,9,5,13,21
0,2,139,1,1,9,6,13,22
0,0,114,0,0,9,0,13,23
0,0,337,0,0,9,1,13,24
0,0,278,0,0,9,2,13,25
0,0,321,0,0,9,3,13,26
2,0,337,0,0,9,4,13,27
1,1,352,2,1,9,5,13,28
0,2,143,1,1,9,6,13,29
0,0,111,0,0,9,0,13,30
0,0,358,0,0,10,1,13,1
0,0,224,0,0,10,2,13,2
0,0,293,0,0,10,3,13,3
2,0,252,0,0,10,4,13,4
1,1,345,2,1,10,5,13,5
0,2,120,1,1,10,6,13,6
0,0,85,0,0,10,0,13,7
0,0,326,0,0,10,1,13,8
0,0,295,0,0,10,2,13,9
0,0,309,0,0,10,3,13,10
2,0,360,0,0,10,4,13,11
1,1,361,2,1,10,5,13,12
0,2,168,1,1,10,6,13,13
0,0,102,0,0,10,0,13,14
0,0,322,0,0,10,1,13,15
0,0,283,0,0,10,2,13,16
0,0,310,0,0,10,3,13,17
2,0,281,0,0,10,4,13,18
1,1,297,2,1,10,5,13,19
0,2,159,1,1,10,6,13,20
0,0,112,0,0,10,0,13,21
0,0,309,0,0,10,1,13,22
0,0,287,0,0,10,2,13,23
0,0,341,0,0,10,3,13,24
2,0,307,0,0,10,4,13,25
1,1,363,2,1,10,5,13,26
0,2,138,1,1,10,6,13,27
0,0,114,0,0,10,0,13,28
0,0,354,0,0,10,1,13,29
0,0,298,0,0,10,2,13,30
0,0,327,0,0,10,3,13,31
2,0,388,0,0,11,4,13,1
1,1,285,2,1,11,5,13,2
0,2,122,1,1,11,6,13,3
0,0,102,0,0,11,0,13,4
0,0,343,0,0,11,1,13,5
1,0,295,0,0,11,2,13,6
0,1,292,1,1,11,3,13,7
2,0,125,0,0,11,4,13,8
1,1,369,2,1,11,5,13,9
0,2,128,1,1,11,6,13,10
0,0,109,0,0,11,0,13,11
0,0,362,0,0,11,1,13,12
0,0,313,0,0,11,2,13,13
0,0,346,0,0,11,3,13,14
2,0,307,0,0,11,4,13,15
1,1,353,2,1,11,5,13,16
0,2,138,1,1,11,6,13,17
0,0,100,0,0,11,0,13,18
0,0,370,0,0,11,1,13,19
0,0,285,0,0,11,2,13,20
0,0,279,0,0,11,3,13,21
2,0,315,0,0,11,4,13,22
1,1,344,2,1,11,5,13,23
0,2,147,1,1,11,6,13,24
0,0,131,0,0,11,0,13,25
0,0,337,0,0,11,1,13,26
0,0,278,0,0,11,2,13,27
0,0,264,0,0,11,3,13,28
2,0,342,0,0,11,4,13,29
1,1,439,2,1,11,5,13,30
0,2,164,1,1,12,6,13,1
0,0,112,0,0,12,0,13,2
0,0,322,0,0,12,1,13,3
0,0,255,0,0,12,2,13,4
0,0,314,0,0,12,3,13,5
2,0,354,0,0,12,4,13,6
1,1,382,2,1,12,5,13,7
0,2,124,1,1,12,6,13,8
0,0,89,0,0,12,0,13,9
0,0,346,0,0,12,1,13,10
0,0,272,0,0,12,2,13,11
0,0,302,0,0,12,3,13,12
2,0,286,0,0,12,4,13,13
1,1,389,2,1,12,5,13,14
0,2,147,1,1,12,6,13,15
0,0,102,0,0,12,0,13,16
0,0,321,0,0,12,1,13,17
0,0,286,0,0,12,2,13,18
0,0,316,0,0,12,3,13,19
2,0,293,0,0,12,4,13,20
1,1,369,2,1,12,5,13,21
0,2,154,1,1,12,6,13,22
0,0,87,0,0,12,0,13,23
1,0,355,0,0,12,1,13,24
0,1,315,1,1,12,2,13,25
0,0,130,0,0,12,3,13,26
2,0,385,0,0,12,4,13,27
1,1,435,2,1,12,5,13,28
0,2,194,1,1,12,6,13,29
3,0,217,0,0,1,5,14,4
2,1,230,3,1,1,6,14,5
1,2,109,2,1,1,0,14,6
0,3,94,1,1,1,1,14,7
0,0,95,0,0,1,2,14,8
0,0,263,0,0,1,3,14,9
0,0,238,0,0,1,4,14,10
1,0,246,0,0,1,5,14,11
0,1,263,1,1,1,6,14,12
0,0,126,0,0,1,0,14,13
0,0,252,0,0,1,1,14,14
0,0,258,0,0,1,2,14,15
0,0,260,0,0,1,3,14,16
2,0,265,0,0,1,4,14,17
1,1,323,2,1,1,5,14,18
0,2,122,1,1,1,6,14,19
0,0,113,0,0,1,0,14,20
0,0,316,0,0,1,1,14,21
0,0,249,0,0,1,2,14,22
0,0,237,0,0,1,3,14,23
2,0,237,0,0,1,4,14,24
1,1,283,2,1,1,5,14,25
0,2,104,1,1,1,6,14,26
0,0,83,0,0,1,0,14,27
0,0,308,0,0,1,1,14,28
0,0,226,0,0,1,2,14,29
0,0,245,0,0,1,3,14,30
2,0,279,0,0,1,4,14,31
1,1,317,2,1,2,5,14,1
0,2,110,1,1,2,6,14,2
0,0,70,0,0,2,0,14,3
0,0,310,0,0,2,1,14,4
0,0,294,0,0,2,2,14,5
0,0,276,0,0,2,3,14,6
2,0,309,0,0,2,4,14,7
1,1,330,2,1,2,5,14,8
0,2,142,1,1,2,6,14,9
0,0,110,0,0,2,0,14,10
0,0,110,0,0,2,1,14,11
0,0,271,0,0,2,2,14,12
0,0,308,0,0,2,3,14,13
2,0,292,0,0,2,4,14,14
1,1,335,2,1,2,5,14,15
0,2,130,1,1,2,6,14,16
0,0,104,0,0,2,0,14,17
0,0,324,0,0,2,1,14,18
0,0,271,0,0,2,2,14,19
0,0,296,0,0,2,3,14,20
2,0,292,0,0,2,4,14,21
1,1,371,2,1,2,5,14,22
0,2,134,1,1,2,6,14,23
0,0,118,0,0,2,0,14,24
0,0,356,0,0,2,1,14,25
0,0,310,0,0,2,2,14,26
0,0,281,0,0,2,3,14,27
2,0,325,0,0,2,4,14,28
1,1,432,2,1,3,5,14,1
0,2,133,1,1,3,6,14,2
0,0,123,0,0,3,0,14,3
0,0,321,0,0,3,1,14,4
0,0,307,0,0,3,2,14,5
0,0,284,0,0,3,3,14,6
2,0,290,0,0,3,4,14,7
1,1,348,2,1,3,5,14,8
0,2,128,1,1,3,6,14,9
0,0,108,0,0,3,0,14,10
0,0,354,0,0,3,1,14,11
0,0,305,0,0,3,2,14,12
0,0,310,0,0,3,3,14,13
2,0,361,0,0,3,4,14,14
1,1,379,2,1,3,5,14,15
0,2,123,1,1,3,6,14,16
0,0,95,0,0,3,0,14,17
0,0,329,0,0,3,1,14,18
0,0,308,0,0,3,2,14,19
0,0,316,0,0,3,3,14,20
2,0,286,0,0,3,4,14,21
1,1,370,2,1,3,5,14,22
0,2,151,1,1,3,6,14,23
0,0,140,0,0,3,0,14,24
0,0,327,0,0,3,1,14,25
0,0,282,0,0,3,2,14,26
0,0,304,0,0,3,3,14,27
2,0,352,0,0,3,4,14,28
1,1,326,2,1,3,5,14,29
0,2,157,1,1,3,6,14,30
0,0,114,0,0,3,0,14,31
0,0,379,0,0,4,1,14,1
0,0,233,0,0,4,2,14,2
0,0,285,0,0,4,3,14,3
2,0,305,0,0,4,4,14,4
1,1,322,2,1,4,5,14,5
0,2,137,1,1,4,6,14,6
0,0,105,0,0,4,0,14,7
0,0,353,0,0,4,1,14,8
0,0,266,0,0,4,2,14,9
0,0,262,0,0,4,3,14,10
2,0,332,0,0,4,4,14,11
1,1,332,2,1,4,5,14,12
0,2,136,1,1,4,6,14,13
0,0,92,0,0,4,0,14,14
0,0,329,0,0,4,1,14,15
0,0,292,0,0,4,2,14,16
0,0,297,0,0,4,3,14,17
2,0,308,0,0,4,4,14,18
1,1,403,2,1,4,5,14,19
0,2,129,1,1,4,6,14,20
0,0,71,0,0,4,0,14,21
0,0,341,0,0,4,1,14,22
0,0,335,0,0,4,2,14,23
0,0,309,0,0,4,3,14,24
2,0,346,0,0,4,4,14,25
1,1,356,2,1,4,5,14,26
0,2,134,1,1,4,6,14,27
3,0,100,0,0,4,0,14,28
2,1,469,3,1,4,1,14,29
1,2,144,2,1,4,2,14,30
0,3,147,1,1,5,3,14,1
0,0,94,0,0,5,4,14,2
1,0,368,0,0,5,5,14,3
0,1,330,1,1,5,6,14,4
0,0,87,0,0,5,0,14,5
0,0,295,0,0,5,1,14,6
0,0,268,0,0,5,2,14,7
3,0,308,0,0,5,3,14,8
2,1,335,3,1,5,4,14,9
1,2,123,2,1,5,5,14,10
0,3,128,1,1,5,6,14,11
0,0,90,0,0,5,0,14,12
0,0,90,0,0,5,1,14,13
0,0,276,0,0,5,2,14,14
0,0,320,0,0,5,3,14,15
2,0,305,0,0,5,4,14,16
1,1,355,2,1,5,5,14,17
0,2,124,1,1,5,6,14,18
0,0,91,0,0,5,0,14,19
0,0,348,0,0,5,1,14,20
0,0,297,0,0,5,2,14,21
0,0,328,0,0,5,3,14,22
2,0,302,0,0,5,4,14,23
1,1,369,2,1,5,5,14,24
0,2,131,1,1,5,6,14,25
0,0,96,0,0,5,0,14,26
0,0,321,0,0,5,1,14,27
0,0,281,0,0,5,2,14,28
0,0,290,0,0,5,3,14,29
2,0,305,0,0,5,4,14,30
1,1,385,2,1,5,5,14,31
0,2,168,1,1,6,6,14,1
0,0,93,0,0,6,0,14,2
0,0,323,0,0,6,1,14,3
0,0,303,0,0,6,2,14,4
0,0,298,0,0,6,3,14,5
2,0,290,0,0,6,4,14,6
1,1,337,2,1,6,5,14,7
0,2,162,1,1,6,6,14,8
0,0,90,0,0,6,0,14,9
0,0,321,0,0,6,1,14,10
0,0,306,0,0,6,2,14,11
0,0,319,0,0,6,3,14,12
2,0,291,0,0,6,4,14,13
1,1,329,2,1,6,5,14,14
0,2,138,1,1,6,6,14,15
0,0,100,0,0,6,0,14,16
0,0,334,0,0,6,1,14,17
0,0,312,0,0,6,2,14,18
0,0,271,0,0,6,3,14,19
2,0,321,0,0,6,4,14,20
1,1,342,2,1,6,5,14,21
0,2,103,1,1,6,6,14,22
0,0,103,0,0,6,0,14,23
0,0,326,0,0,6,1,14,24
0,0,280,0,0,6,2,14,25
0,0,319,0,0,6,3,14,26
2,0,334,0,0,6,4,14,27
1,1,98,2,1,6,5,14,28
0,2,143,1,1,6,6,14,29
0,0,97,0,0,6,0,14,30
0,0,515,0,0,7,1,14,1
4,0,247,0,0,7,2,14,2
3,1,311,4,1,7,3,14,3
2,2,149,3,1,7,4,14,4
1,3,119,2,1,7,5,14,5
0,4,91,1,1,7,6,14,6
0,0,86,0,0,7,0,14,7
0,0,342,0,0,7,1,14,8
0,0,285,0,0,7,2,14,9
0,0,319,0,0,7,3,14,10
0,0,310,0,0,7,4,14,11
1,0,293,0,0,7,5,14,12
0,1,301,1,1,7,6,14,13
0,0,109,0,0,7,0,14,14
0,0,272,0,0,7,1,14,15
0,0,297,0,0,7,2,14,16
0,0,293,0,0,7,3,14,17
2,0,294,0,0,7,4,14,18
1,1,308,2,1,7,5,14,19
0,2,127,1,1,7,6,14,20
0,0,84,0,0,7,0,14,21
0,0,352,0,0,7,1,14,22
0,0,302,0,0,7,2,14,23
0,0,302,0,0,7,3,14,24
2,0,383,0,0,7,4,14,25
0,2,124,1,1,7,6,14,27
0,0,323,0,0,7,1,14,29
0,0,282,0,0,7,2,14,30
0,0,282,0,0,7,3,14,31
2,0,348,0,0,8,4,14,1
1,1,286,2,1,8,5,14,2
0,2,121,1,1,8,6,14,3
0,0,103,0,0,8,0,14,4
0,0,289,0,0,8,1,14,5
0,0,264,0,0,8,2,14,6
0,0,259,0,0,8,3,14,7
2,0,327,0,0,8,4,14,8
1,1,347,2,1,8,5,14,9
0,2,107,1,1,8,6,14,10
0,0,87,0,0,8,0,14,11
0,0,333,0,0,8,1,14,12
0,0,262,0,0,8,2,14,13
0,0,295,0,0,8,3,14,14
2,0,282,0,0,8,4,14,15
1,1,352,2,1,8,5,14,16
0,2,111,1,1,8,6,14,17
0,0,93,0,0,8,0,14,18
0,0,93,0,0,8,1,14,19
0,0,298,0,0,8,2,14,20
0,0,291,0,0,8,3,14,21
2,0,339,0,0,8,4,14,22
1,1,316,2,1,8,5,14,23
0,2,122,1,1,8,6,14,24
0,0,80,0,0,8,0,14,25
0,0,312,0,0,8,1,14,26
0,0,275,0,0,8,2,14,27
0,0,295,0,0,8,3,14,28
2,0,307,0,0,8,4,14,29
1,1,386,2,1,8,5,14,30
0,2,118,1,1,8,6,14,31
0,0,118,0,0,9,0,14,1
0,0,247,0,0,9,1,14,2
0,0,202,0,0,9,2,14,3
0,0,251,0,0,9,3,14,4
2,0,305,0,0,9,4,14,5
1,1,343,2,1,9,5,14,6
0,2,139,1,1,9,6,14,7
0,0,101,0,0,9,0,14,8
0,0,314,0,0,9,1,14,9
0,0,274,0,0,9,2,14,10
0,0,307,0,0,9,3,14,11
2,0,261,0,0,9,4,14,12
1,1,347,2,1,9,5,14,13
0,2,117,1,1,9,6,14,14
0,0,92,0,0,9,0,14,15
0,0,308,0,0,9,1,14,16
0,0,296,0,0,9,2,14,17
0,0,289,0,0,9,3,14,18
2,0,302,0,0,9,4,14,19
1,1,390,2,1,9,5,14,20
0,2,130,1,1,9,6,14,21
0,0,107,0,0,9,0,14,22
0,0,315,0,0,9,1,14,23
0,0,285,0,0,9,2,14,24
0,0,309,0,0,9,3,14,25
2,0,285,0,0,9,4,14,26
1,1,318,2,1,9,5,14,27
0,2,122,1,1,9,6,14,28
0,0,87,0,0,9,0,14,29
0,0,331,0,0,9,1,14,30
0,0,426,0,0,10,2,14,1
0,0,282,0,0,10,3,14,2
2,0,259,0,0,10,4,14,3
1,1,306,2,1,10,5,14,4
0,2,109,1,1,10,6,14,5
0,0,86,0,0,10,0,14,6
0,0,307,0,0,10,1,14,7
0,0,267,0,0,10,2,14,8
0,0,285,0,0,10,3,14,9
2,0,309,0,0,10,4,14,10
1,1,314,2,1,10,5,14,11
0,2,149,1,1,10,6,14,12
0,0,84,0,0,10,0,14,13
0,0,319,0,0,10,1,14,14
0,0,243,0,0,10,2,14,15
0,0,280,0,0,10,3,14,16
2,0,287,0,0,10,4,14,17
1,1,350,2,1,10,5,14,18
0,2,120,1,1,10,6,14,19
0,0,81,0,0,10,0,14,20
0,0,301,0,0,10,1,14,21
0,0,257,0,0,10,2,14,22
0,0,257,0,0,10,3,14,23
2,0,307,0,0,10,4,14,24
1,1,345,2,1,10,5,14,25
0,2,116,1,1,10,6,14,26
0,0,87,0,0,10,0,14,27
0,0,313,0,0,10,1,14,28
0,0,280,0,0,10,2,14,29
0,0,335,0,0,10,3,14,30
2,0,345,0,0,10,4,14,31
1,1,394,2,1,11,5,14,1
0,2,123,1,1,11,6,14,2
0,0,127,0,0,11,0,14,3
0,0,287,0,0,11,1,14,4
0,0,266,0,0,11,2,14,5
3,0,263,0,0,11,3,14,6
2,1,351,3,1,11,4,14,7
1,2,145,2,1,11,5,14,8
0,3,115,1,1,11,6,14,9
0,0,73,0,0,11,0,14,10
0,0,378,0,0,11,1,14,11
0,0,255,0,0,11,2,14,12
0,0,289,0,0,11,3,14,13
1,1,376,2,1,11,5,14,15
0,2,150,1,1,11,6,14,16
0,0,99,0,0,11,0,14,17
0,0,326,0,0,11,1,14,18
0,0,276,0,0,11,2,14,19
0,0,273,0,0,11,3,14,20
2,0,288,0,0,11,4,14,21
1,1,350,2,1,11,5,14,22
0,2,138,1,1,11,6,14,23
0,0,82,0,0,11,0,14,24
0,0,362,0,0,11,1,14,25
0,0,309,0,0,11,2,14,26
0,0,251,0,0,11,3,14,27
2,0,291,0,0,11,4,14,28
1,1,383,2,1,11,5,14,29
0,2,161,1,1,11,6,14,30
0,0,132,0,0,12,0,14,1
0,0,315,0,0,12,1,14,2
0,0,243,0,0,12,2,14,3
0,0,263,0,0,12,3,14,4
2,0,296,0,0,12,4,14,5
1,1,340,2,1,12,5,14,6
0,2,129,1,1,12,6,14,7
0,0,99,0,0,12,0,14,8
0,0,296,0,0,12,1,14,9
0,0,275,0,0,12,2,14,10
0,0,305,0,0,12,3,14,11
2,0,311,0,0,12,4,14,12
1,1,301,2,1,12,5,14,13
0,2,116,1,1,12,6,14,14
0,0,126,0,0,12,0,14,15
0,0,298,0,0,12,1,14,16
0,0,244,0,0,12,2,14,17
0,0,269,0,0,12,3,14,18
0,0,285,0,0,12,4,14,19
1,0,313,0,0,12,5,14,20
0,1,316,1,1,12,6,14,21
0,0,147,0,0,12,0,14,22
0,0,331,0,0,12,1,14,23
4,0,291,0,0,12,2,14,24
3,1,381,4,1,12,3,14,25
2,2,178,3,1,12,4,14,26
1,3,138,2,1,12,5,14,27
0,4,115,1,1,12,6,14,28
0,0,117,0,0,12,0,14,29
0,0,439,0,0,12,1,14,30
4,0,585,0,0,12,2,14,31
